noun	verb
butt joint	butt against
butt joint	butt on
buttressing	buttress
butt weld	buttweld
butt weld	butt-weld
butt-weld	buttweld
butt welding	buttweld
butt welding	butt-weld
butt-welding	buttweld
butt-welding	butt-weld
butyl	butylate
buzzer	buzz
cablegram	cable
cachinnation	cachinnate
cackler	cackle
caddie	caddy
caddy	caddie
cadger	cadge
cage	cage in
cajolery	cajole
calcification	calcify
calcination	calcine
calcium	calcify
calculating machine	calculate
calculation	calculate
calculator	calculate
calculus	calculate
caliber	calibrate
calibration	calibrate
calibre	calibrate
calkin	calk
call	call in
call	call out
call	call up
callback	call back
callback	call in
call-back	call back
caller	call
caller	call in
caller	call off
caller	call up
caller-out	call
caller-out	call off
caller-up	call
caller-up	call up
calligrapher	calligraph
calligraphist	calligraph
call-in	call in
calling	call
call option	call
callosity	callus
call-out	call out
call up	call up
calm	calm down
calmness	calm
calmness	calm down
calumniation	calumniate
calumny	calumniate
camo	camouflage
camp	camp out
campaigner	campaign
camper	camp
camper	camp out
campground	camp
campground	camp out
camphor	camphorate
camping	camp
camping	camp out
camping area	camp
camping area	camp out
camping ground	camp
camping ground	camp out
camping site	camp
camping site	camp out
campsite	camp
campsite	camp out
canal	canalise
canal	canalize
canalisation	canal
canalisation	canalise
canalisation	canalize
canalization	canal
canalization	canalise
canalization	canalize
cancellation	cancel
candela	candle
canker sore	canker
cannibal	cannibalise
cannibal	cannibalize
cannoneer	cannon
cannula	cannulate
cannula	cannulise
cannula	cannulize
cannulation	cannulate
cannulation	cannulise
cannulation	cannulize
cannulisation	cannulate
cannulisation	cannulise
cannulisation	cannulize
cannulization	cannulate
cannulization	cannulise
cannulization	cannulize
canoeist	canoe
canon	canonise
canon	canonize
canonisation	canonise
canonisation	canonize
canonization	canonise
canonization	canonize
cant	cant over
cantillation	cantillate
cantonment	canton
canulation	canulate
canulisation	canulate
canulization	canulate
canvass	canvas
canvasser	canvas
canvasser	canvass
capacity	capacitate
capital	capitalise
capital	capitalize
capitalisation	capitalise
capitalisation	capitalize
capitalization	capitalise
capitalization	capitalize
capital letter	capitalise
capital letter	capitalize
capitulation	capitulate
capon	caponise
capon	caponize
capsule	capsulate
capsule	capsulise
capsule	capsulize
captivation	captivate
captivation	capture
captive	captivate
captive	capture
captor	capture
capturer	capture
caramel	caramelise
caramel	caramelize
caramelized sugar	caramelise
caramelized sugar	caramelize
carbon	carbonate
carbon	carbonise
carbon	carbonize
carbon	carburise
carbon	carburize
carbonation	carbonate
carbon dioxide	carbonate
carbonic acid	carbonate
carbonic acid gas	carbonate
carbonisation	carbonise
carbonisation	carbonize
carbonization	carbonise
carbonization	carbonize
caressing	caress
carjacking	carjack
caroler	carol
caroller	carol
carousal	carouse
carouser	carouse
carpentry	carpenter
carper	carp
carpet bombing	carpet bomb
carpeting	carpet
carriage	carry
carrier	carry
carrier wave	carry
carrying out	carry out
carrying out	carry through
carry-over	carry over
cartage	cart
carter	cart
carting	cart
cartoonist	cartoon
